molecule	VIP
421	0.0
522	0.0
523	0.0
524	0.0
525	0.0
408	0.0
407	0.0
398	0.0
397	0.0
649	0.0
650	0.0
651	0.0
87	0.0
161	0.0
99	0.0
98	0.0
96	0.0
95	0.0
92	0.0
91	0.0
90	0.0
88	0.0
76	0.0
742	0.0
74	0.0
874	0.0
875	0.0
876	0.0
877	0.0
68	0.0
67	0.0
57	0.0
56	0.0
744	0.0
164	0.0
655	0.0
193	0.0
659	0.0
660	0.0
217	0.0
216	0.0
672	0.0
673	0.0
689	0.0
692	0.0
194	0.0
192	0.0
168	0.0
191	0.0
190	0.0
714	0.0
715	0.0
716	0.0
717	0.0
727	0.0
170	0.0
169	0.0
500	0.0
